gene_name,ctrl_raw_mean,ctrl_clean_mean,ambient_mean,ambient_fraction,is_jakstat,interpretation
JAK1,0.22605039179325104,0.22556501356725178,0.0004853782259992556,0.00214721249606676,True,CLEAN
BIRC3,0.2740977108478546,0.27354190122848876,0.0005558096193658546,0.002027779136303593,False,CLEAN
PCNP,0.14448608458042145,0.14419660072839333,0.00028948385202812177,0.0020035413989434674,False,CLEAN
SNCA,0.020987069234251976,0.020945833941495212,4.123529275676385e-05,0.001964795193483506,False,CLEAN
TRIM22,0.02870745025575161,0.028652410186393244,5.504006935836553e-05,0.0019172747446401343,False,CLEAN
SRSF7,0.27586793899536133,0.27534252906116125,0.0005254099342000829,0.0019045704843900601,False,CLEAN
IFI27,0.026196807622909546,0.02614794640239139,4.8861220518156556e-05,0.0018651593438975596,False,CLEAN
PLAC8,0.11495786905288696,0.11474820126478459,0.00020966778810237174,0.0018238663419022929,False,CLEAN
MARCKSL1,0.34095001220703125,0.3403397711994127,0.0006102410076185283,0.0017898254458720432,False,CLEAN
TNFSF13B,0.03636469319462776,0.03630020056073194,6.449263389582405e-05,0.0017734958892861412,False,CLEAN
TIMP1,0.9489603042602539,0.9472850979103895,0.0016752063498643999,0.0017653070864437042,False,CLEAN
CLEC2B,0.13333848118782043,0.13310616724634117,0.00023231394147926743,0.0017422872932835517,False,CLEAN
IFITM1,0.02277599275112152,0.022736616957826365,3.9375793295156475e-05,0.001728828847349258,True,CLEAN
ANP32B,0.14983467757701874,0.14957912373331003,0.0002555538437087057,0.001705572086791088,False,CLEAN
GPR183,0.2650052011013031,0.2645536120208343,0.0004515890804688283,0.0017040762920581324,False,CLEAN
GPX1,0.3163226246833801,0.315786231949113,0.0005363927342671437,0.0016957140982376475,False,CLEAN
TSC22D3,0.20402301847934723,0.20368045611418065,0.0003425623651665821,0.0016790378248484688,False,CLEAN
CXCL10,0.025565845891833305,0.02552367636603578,4.21695257975252e-05,0.0016494477036253956,False,CLEAN
C9orf78,0.13644246757030487,0.13621756575023547,0.00022490182006940085,0.0016483271233240883,False,CLEAN
DGUOK,0.15979842841625214,0.15953571422073415,0.0002627141955179879,0.0016440349139958679,False,CLEAN
PRDX5,0.17758090794086456,0.177289479546659,0.0002914283942055673,0.0016411020620674753,False,CLEAN
CD7,0.2599982023239136,0.25957828879205136,0.0004199135318622149,0.001615063212395115,False,CLEAN
SOD2,0.5313931703567505,0.5305351293233218,0.0008580410334286803,0.0016147009056451272,False,CLEAN
HSPD1,0.16045032441616058,0.1601919113510683,0.0002584130650922778,0.001610548722993111,False,CLEAN
CD55,0.13410615921020508,0.13389176032402048,0.00021439888618460246,0.0015987251252833385,False,CLEAN
CACYBP,0.18632455170154572,0.1860272009130848,0.00029735078846090945,0.0015958755072557767,False,CLEAN
UPP1,0.13383722305297852,0.1336281522469218,0.000209070806056727,0.0015621274955321496,False,CLEAN
GIMAP1,0.08817604184150696,0.08803881678345223,0.0001372250580547324,0.0015562623949642597,False,CLEAN
