Week 4 LFC Beta Sweep Training Log
================================================================================
Sweep betas: [0.01, 0.05, 0.1, 0.2, 0.5]
Best beta: 0.5
Best val r: 0.8571
Test r: 0.8729 +/- 0.0632
JAK-STAT: 0/15

Sweep Results:
  beta=0.010 | val_r=0.8568 | epoch=19 | jakstat=0/15 | time=234s
  beta=0.050 | val_r=0.8568 | epoch=19 | jakstat=0/15 | time=239s
  beta=0.100 | val_r=0.8570 | epoch=55 | jakstat=0/15 | time=261s
  beta=0.200 | val_r=0.8569 | epoch=56 | jakstat=0/15 | time=261s
  beta=0.500 | val_r=0.8571 | epoch=42 | jakstat=0/15 | time=282s

Epoch-level log:
  beta=0.100 E 29 | MSE=0.0128 LFC=223.4223 Cos=0.1237 Total=0.0251 | val_r=0.8563
  beta=0.100 E 30 | MSE=0.0128 LFC=217.9217 Cos=0.1240 Total=0.0252 | val_r=0.8560
  beta=0.100 E 31 | MSE=0.0139 LFC=204.8025 Cos=0.1313 Total=0.4366 | val_r=0.8557
  beta=0.100 E 32 | MSE=0.0133 LFC=276.7972 Cos=0.1296 Total=1.1335 | val_r=0.8563
  beta=0.100 E 33 | MSE=0.0136 LFC=260.8333 Cos=0.1338 Total=1.5920 | val_r=0.8548
  beta=0.100 E 34 | MSE=0.0143 LFC=304.6642 Cos=0.1424 Total=2.4658 | val_r=0.8404
  beta=0.100 E 35 | MSE=0.0196 LFC=277.1730 Cos=0.1549 Total=2.8068 | val_r=0.8568
  beta=0.100 E 36 | MSE=0.0641 LFC=240.5165 Cos=0.2749 Total=2.9778 | val_r=0.8552
  beta=0.100 E 37 | MSE=0.0373 LFC=239.8657 Cos=0.2107 Total=3.4165 | val_r=0.8555
  beta=0.100 E 38 | MSE=0.0167 LFC=265.8298 Cos=0.1543 Total=4.2854 | val_r=0.8547
  beta=0.100 E 39 | MSE=0.0141 LFC=286.8628 Cos=0.1386 Total=5.1915 | val_r=0.8430
